0000000001,1,26,22,354,3,20.20
0000000002,0,28,94,276,11,1.60
0000000003,0,30,71,278,8,5.61
0000000004,0,20,53,13,10,59.98
0000000005,0,28,59,465,4,27.66
0000000006,1,30,27,446,5,82.71
0000000007,0,26,86,68,2,78.40
0000000008,0,28,14,277,2,54.91
0000000009,0,18,42,468,4,76.95
0000000010,0,28,44,511,5,6.97
0000000011,1,24,88,336,16,19.94
0000000012,0,21,27,5,3,11.40
0000000013,1,30,11,300,2,89.46
0000000014,1,23,31,446,6,78.28
0000000015,1,20,68,451,7,37.93
0000000016,1,30,63,112,5,23.92
0000000017,1,30,86,94,9,90.20
0000000018,1,28,3,281,1,73.65
0000000019,0,26,37,122,4,79.17
0000000020,1,24,10,472,2,39.63
0000000021,1,28,77,566,8,77.59
0000000022,0,25,48,206,3,70.43
0000000023,0,25,97,113,14,12.40
0000000024,1,23,73,450,14,91.20
0000000025,0,27,46,519,3,53.69
0000000026,1,18,74,7,11,58.42
0000000027,0,25,66,306,12,96.00
0000000028,0,22,72,516,5,95.79
0000000029,0,18,63,72,5,31.24
0000000030,1,30,79,47,5,6.15
0000000031,0,18,15,97,1,9.40
0000000032,1,21,92,167,18,35.87
0000000033,1,25,56,463,7,52.26
0000000034,0,25,50,543,8,65.62
0000000035,1,29,90,311,17,23.50
0000000036,1,20,39,134,5,20.05
0000000037,1,29,77,464,7,90.66
0000000038,1,28,90,331,18,68.72
0000000039,1,27,44,474,1,44.86
0000000040,0,27,85,146,16,6.57
0000000041,0,23,20,476,4,77.62
0000000042,1,26,88,430,2,95.73
0000000043,1,21,11,590,1,53.24
0000000044,0,27,68,475,8,71.63
0000000045,1,23,84,557,2,4.88
0000000046,1,23,5,232,1,62.75
0000000047,1,19,38,572,1,48.85
0000000048,0,21,29,370,3,46.62
0000000049,1,22,16,404,3,24.28
0000000050,1,29,25,73,2,29.21
0000000051,0,19,7,323,1,77.47
0000000052,0,30,61,250,7,36.43
0000000053,0,27,65,411,11,39.73
0000000054,0,29,15,496,2,68.01
0000000055,0,30,73,414,13,24.00
0000000056,1,19,31,62,5,11.89
0000000057,0,20,39,525,2,18.53
0000000058,0,25,46,88,8,81.75
0000000059,0,27,8,444,1,96.09
0000000060,1,30,49,186,2,71.37
0000000061,0,20,57,6,8,22.01
0000000062,1,18,37,330,5,0.19
0000000063,1,22,31,276,4,93.80
0000000064,0,28,68,89,10,69.85
0000000065,0,21,76,456,15,51.54
0000000066,1,18,65,586,10,83.66
0000000067,0,21,55,404,9,40.72
0000000068,0,30,92,119,14,99.90
0000000069,0,29,63,200,8,61.69
0000000070,0,20,70,9,12,35.54
0000000071,0,24,54,109,3,43.94
0000000072,0,30,2,584,1,29.33
0000000073,1,30,84,54,8,97.42
0000000074,0,29,23,496,4,26.60
0000000075,1,30,83,196,7,9.26
0000000076,0,27,81,444,16,40.27
0000000077,1,23,84,297,8,28.71
0000000078,1,30,83,182,6,72.63
0000000079,0,26,69,477,6,27.95
0000000080,0,23,78,232,15,17.01
0000000081,0,27,49,275,6,34.41
0000000082,1,19,27,85,2,43.21
0000000083,0,23,7,207,1,14.75
0000000084,1,22,72,412,4,64.52
0000000085,1,24,93,30,18,28.44
0000000086,1,28,47,283,3,68.84
0000000087,1,26,47,381,4,24.68
0000000088,1,20,39,97,5,85.86
0000000089,1,30,16,51,2,84.93
0000000090,0,29,24,371,3,12.69
0000000091,0,20,2,30,1,84.25
0000000092,0,29,63,508,9,77.75
0000000093,1,28,85,263,14,55.51
0000000094,1,21,31,360,4,42.89
0000000095,0,22,45,502,1,23.01
0000000096,1,28,45,406,9,75.66
0000000097,0,27,13,540,1,29.99
0000000098,1,19,37,390,1,75.72
0000000099,1,26,26,552,2,14.73
0000000100,0,19,37,481,6,52.46
0000000101,0,30,86,13,5,69.90
0000000102,1,21,77,176,3,69.33
0000000103,1,21,31,539,3,51.06
0000000104,0,27,70,59,14,37.82
0000000105,1,27,87,560,10,89.65
0000000106,0,24,43,438,5,31.80
0000000107,1,29,35,475,6,31.30
0000000108,1,19,73,215,14,18.21
0000000109,1,26,91,157,15,21.78
0000000110,1,18,22,255,3,49.23
0000000111,1,30,59,80,6,93.61
0000000112,1,27,64,204,7,22.48
0000000113,0,27,59,252,11,42.61
0000000114,0,20,10,86,1,72.79
0000000115,1,27,15,291,3,51.83
0000000116,0,20,35,36,7,34.61
0000000117,1,19,24,291,2,55.80
0000000118,0,29,38,211,3,11.90
0000000119,0,20,17,417,3,97.14
0000000120,0,18,81,588,16,71.17
0000000121,1,22,73,176,3,80.79
0000000122,1,18,30,230,6,11.27
0000000123,1,19,60,413,1,45.71
0000000124,1,29,48,129,3,76.67
0000000125,1,29,54,26,5,79.19
0000000126,0,24,15,392,2,79.08
0000000127,1,29,1,270,1,42.47
0000000128,1,22,98,61,1,91.40
0000000129,0,22,43,202,6,84.76
0000000130,0,27,6,260,1,36.64
0000000131,1,21,53,534,6,33.32
0000000132,1,23,59,267,6,83.89
0000000133,1,18,78,242,9,68.27
0000000134,1,18,51,473,6,52.51
0000000135,1,22,27,16,4,55.73
0000000136,1,18,21,373,2,70.10
0000000137,0,22,59,474,3,30.24
0000000138,1,29,73,344,14,41.23
0000000139,0,22,45,437,4,11.06
0000000140,1,19,9,271,1,71.86
0000000141,1,29,73,436,4,40.96
0000000142,1,21,78,115,13,3.43
0000000143,1,24,71,516,14,62.64
0000000144,0,21,39,398,6,36.86
0000000145,0,25,17,264,1,30.14
0000000146,1,21,6,318,1,6.70
0000000147,1,27,3,458,1,34.01
0000000148,0,23,1,446,1,66.44
0000000149,0,23,9,47,1,77.97
0000000150,1,27,85,136,7,1.33
0000000151,1,21,93,419,12,41.21
0000000152,1,23,67,50,9,18.06
0000000153,1,30,74,567,12,37.08
0000000154,0,25,11,550,2,92.29
0000000155,1,30,49,9,1,70.28
0000000156,1,30,43,144,4,0.96
0000000157,1,25,83,235,2,78.94
0000000158,1,18,28,149,4,18.59
0000000159,0,22,73,54,9,22.50
0000000160,0,21,5,123,1,6.11
0000000161,1,26,33,60,2,52.77
0000000162,1,25,24,379,3,87.50
0000000163,0,23,74,280,11,84.11
0000000164,1,30,74,303,9,51.51
0000000165,1,23,27,305,1,98.32
0000000166,0,25,82,331,7,49.30
0000000167,0,29,63,159,1,26.60
0000000168,0,27,39,394,3,23.88
0000000169,1,23,43,598,8,50.80
0000000170,1,27,93,506,12,73.96
